commit id,author,date,title,changed files,lines added,lines deleted,filenames
340a4ca4e,Svetlana Karslioglu,2022-09-19,Update,1,1,1,requirements.txt  
d7524ffab,Svetlana Karslioglu,2022-09-19,Update,1,32,22,distributed/home.rst  
9ce02f83c,Svetlana Karslioglu,2022-08-19,Update,1,115,24,distributed/home.rst  
11533db05,Svetlana Karslioglu,2022-08-11,Updated card,1,14,31,distributed/home.rst  
20712ff82,Svetlana Karslioglu,2022-08-10,Update,1,3,,_static/css/custom.css  
6d724dcaa,Svetlana Karslioglu,2022-08-10,Update,1,13,18,_static/css/custom.css  
930a794c9,Svetlana Karslioglu,2022-09-19,Rebase,1,2,2,requirements.txt  
cfefbb267,Svetlana Karslioglu,2022-08-09,Add Distributed tutorials landing page,4,159,8,_static/css/custom.css conf.py distributed/home.rst index.rst  
1125546f8,krisselberg,2022-09-19,"Fixed small typo in code block (TorchTec"" -> ""TorchRec"") (#2041)""",1,1,1,intermediate_source/torchrec_tutorial.rst  
b20242033,clee2000,2022-09-16,[ci] Run all python files in the *_source folders (#2034),4,63,55,.jenkins/build.sh .jenkins/metadata.json .jenkins/validate_tutorials_built.py conf.py  
e87a735d0,moto,2022-09-15,Enable intersphinx_mapping to PyTorch and domain libraries (#2038),1,7,,conf.py  
339a6873a,bub3690,2022-09-15,Fix typo in audio_data_augmentation_tutorial.(#2028),1,2,2,beginner_source/audio_data_augmentation_tutorial.py  
3f8be2398,Svetlana Karslioglu,2022-09-14,Update runtime.txt (#2039),1,1,1,runtime.txt  
ed64264b9,Driss Guessous,2022-09-12,Update nestedtensor to_padded calls (#2036),1,6,6,prototype_source/nestedtensor.py  
ce59112c1,Svetlana Karslioglu,2022-09-12,Update cpp_autograd.rst (#2035),1,1,1,advanced_source/cpp_autograd.rst  
f1359faad,clee2000,2022-09-09,[ci] script to validate tutorials were built in > 0 sec (#2031),2,104,,.jenkins/build.sh .jenkins/validate_tutorials_built.py  
5524d54c2,clee2000,2022-09-08,quiet wget (#2032),1,14,14,Makefile  
cc39b0809,andrewor14,2022-09-06,"Fix quantization tutorials (imports,syntax,and style) (#1772)",2,77,84,advanced_source/static_quantization_tutorial.rst prototype_source/fx_graph_mode_ptq_static.rst  
9fb9f475e,SiftingSands,2022-09-06,DQN tutorial fixes (#2026),1,5,5,intermediate_source/reinforcement_q_learning.py  
08cc9b5b5,Mustafa Çavuşoğlu,2022-09-06,Typo fix 'FDSP' --> 'FSDP' (#2029),1,1,1,intermediate_source/FSDP_tutorial.rst  
4918fe4bf,Paul Haider,2022-08-31,Add missing backslash in math formula (#2023),1,1,1,beginner_source/examples_nn/polynomial_module.py  
5f10e9972,Aditya Punetha,2022-08-30,Update autograd_tutorial.py (#2021),1,4,3,beginner_source/blitz/autograd_tutorial.py  
8e0cd4126,Nikita Shulga,2022-08-29,Update sphinx-gallery version to 0.11.1 (#2020),2,2,1,conf.py requirements.txt  
e94601a71,Nikita Shulga,2022-08-29,Fix typos in flask_rest_api_tutorial,1,3,3,intermediate_source/flask_rest_api_tutorial.py  
e1ea05e56,Nikita Shulga,2022-08-27,Pin ray version to 1.13.0 (#2019),1,1,1,requirements.txt  
4cc9db485,Max Balandat,2022-08-23,Fix aspect ratio of Ax logo (#2016),1,0,0,_static/img/ax_logo.png  
88b5e241a,Nikita Shulga,2022-08-22,Update doctools.js to one from sphinx-5.1.1 (#2017),1,198,247,_static/doctools.js  
f16efbc94,Max Balandat,2022-08-21,Fixes to Ax MOO NAS tutorial (#2013),3,6,6,_static/img/ax_logo.png index.rst intermediate_source/ax_multiobjective_nas_tutorial.py  
ebce10340,Max Balandat,2022-08-19,Add new tutorial: Multi-Objective NAS with Ax (#2006),7,709,2,.jenkins/metadata.json _static/img/ax_scheduler_illustration.png conf.py index.rst intermediate_source/ax_multiobjective_nas_tutorial.py intermediate_source/mnist_train_nas.py requirements.txt  
8b8e5d901,Nikita Shulga,2022-08-19,get_files_to_run shoudl handle extra files,1,23,9,.jenkins/get_files_to_run.py  
57bb87c90,ptrblck,2022-08-18,Add nvFuser tutorial for PyTorch 1.12.0 (#1968),12,694,1,_static/img/nvfuser_intro/nvfuser_transformer_block.png _static/img/nvfuser_intro/nvfuser_tutorial_0.png _static/img/nvfuser_intro/nvfuser_tutorial_1.png _static/img/nvfuser_intro/nvfuser_tutorial_2.png _static/img/nvfuser_intro/nvfuser_tutorial_3.png _static/img/nvfuser_intro/nvfuser_tutorial_4.png _static/img/nvfuser_intro/nvfuser_tutorial_5.png _static/img/nvfuser_intro/nvfuser_tutorial_6.png index.rst intermediate_source/README.txt intermediate_source/nvfuser_intro_tutorial.py requirements.txt  
3441eb136,Svetlana Karslioglu,2022-08-18,Add a link to mnist_sample notebook (#2012),1,1,1,beginner_source/nn_tutorial.py  
0c76acc9c,Terri,2022-08-16,fix typos in speech_recognition_pipeline_tutorial.py (#2009),1,2,2,intermediate_source/speech_recognition_pipeline_tutorial.py  
86aca7dc1,Nikita Shulga,2022-08-12,Add functorch to requirements (#2003),1,1,2,requirements.txt  
d57f98cf5,Nikita Shulga,2022-08-12,Add argparse to get_files_to_run (#2004),1,15,6,.jenkins/get_files_to_run.py  
285073782,Nikita Shulga,2022-08-11,Cleanup build.sh (#2000),2,2,13,.jenkins/build.sh requirements.txt  
ff9f10fe3,Shivam Pande,2022-08-11,Grammatically updated the tutorial (#1999),1,2,2,beginner_source/Intro_to_TorchScript_tutorial.py  
770665f50,Yoni Chechik,2022-08-10,"torchvision tutorial: update deprecated `pretrained=True` to `weights=DEFAULT""` (#1998)""",1,4,4,intermediate_source/torchvision_tutorial.rst  
d5f7a40ea,sliorde,2022-08-03,rename confusing variable name in LM tutorial (#1953),1,7,7,beginner_source/transformer_tutorial.py  
